Product Name,Brands,Prices
Pacific Ale Bottles 330mL,"Stone &
                                        WoodPacific Ale Bottles 330mL","

 $24.49 pack
                                                        (6)

 $77.99 case
                                                        (24)
"
Organic Lager Cans 375mL,"Free Brewing
                                        Co.Organic Lager Cans 375mL","

 $25.49 pack
                                                        (6)

 $78.99 case
                                                        (24)
"
"Hopsmith IPA Can
                                        375mL","
AkashaHopsmith IPA Can
                                        375mL","

 $25.49 pack (4)

 $119.99 case (24)
"
Smoked Porter 330mL,"
Feral Brewing CoSmoked Porter 330mL","

 $23.49 pack (6)

 $76.99 case (24)
"
